name,address,city,state,postal_code,country
Sovereign Modern Thai Cuisine,1460 J St,San Diego,CA,92101,USA
Alys Taos Eats,498 NM-150,Arroyo Seco,NM,87514,USA
ACEQ Restaurant,480 NM-150,Arroyo Seco,NM,87514,USA
Big Island Kine,1648 Myrtle Avenue,Eureka,CA,95501,USA
Shawarma Guys,3012 Grape Street,San Diego,CA,92102,USA
Tuetano Taqueria,2540 Congress St,San Diego,CA,92110,USA
Donabe Asian Kitchen,133 Paseo Del Pueblo Norte,Taos,NM,87571,USA
Gutiz,812B Paseo Del Pueblo Norte,Taos,NM,87571,USA
KINDRED,1503 30th St,San Diego,CA,92102,USA
Ranchos Plaza Grill,8 Ranchos Plz,Ranchos De Taos,NM,87557,USA
Barley and Salt Tap House and Kitchen,1699 White Mountain Hwy,North Conway,NH,3860,USA
Shepard Barbecue,7801 Emerald Dr,Emerald Isle,NC,28594,USA
Floyds 1921 Restaurant,400 Bridges St,Morehead City,NC,28557,USA
Third Wave Cafe and Wine Bar,204 Flagler Ave,New Smyrna Beach,FL,32169,USA
Big Daves Bagels and Deli,1130 Eastman Rd,North Conway,NH,3860,USA
Moat Mountain Smokehouse and Brewing Co,3378 White Mountain Hwy,North Conway,NH,3860,USA
Amos Mosquitos Restaurant,703 E Fort Macon Rd,Atlantic Beach,NC,28512,USA
Rose Villa Restaurant,43 W Granada Blvd,Ormond Beach,FL,32174,USA
Arepita Beach,174 N Beach St,Daytona Beach,FL,32114,USA
Redheaded Stranger,305 Arrington St,Nashville,TN,37207,USA
Millie's Restaurant,3218 S Atlantic Ave,Daytona Beach Shores,FL,32118,USA
Antonio's The Taste of Mexico,1379 Paseo Del Pueblo Sur,Taos,NM,87571,USA
The Garlic,556 E 3rd Ave,New Smyrna Beach,FL,32169,USA
Bottle Cap,2403 12th Ave S,Nashville,TN,37204,USA
Panheads Pizzeria,113 S Orange St,New Smyrna Beach,FL,32168,USA
King Tut's Food Truck,3716 Nolensville Pk,Nashville,TN,37211,USA
El Mirasol Cocina Mexicana,140 E Palm Canyon Dr,Palm Springs,CA,92264,USA
Gabino's Creperie,170 E Palm Canyon Drive Unit #4,Palm Springs,CA,92264,USA
Pie Town Tacos,614 Ewing Ave #4628,Nashville,TN,37203,USA
Homegrown Taproom and Kitchen,2720 Old Lebanon Rd,Nashville,TN,37214,USA
Joe's Meat Market,28 Main St,South Bound Brook,NJ,8880,USA
The Real Italian Deli,44795 San Pablo Ave,Palm Desert,CA,92260,USA
Gastro Grind Burgers,73850 CA-111 #B,Palm Desert,CA,92260,USA
East Side Banh Mi,1000 Gallatin Ave,Nashville,TN,37206,USA
Moo Yai Thai Restaurant,1064 Ocean Ave N,Sea Bright,NJ,7760,USA
Big Pinks BBQ Food Truck,483 Union Ave,Bridgewater Township,NJ,8807,USA
Pablo’s Tacos & Beer,42-425 Jackson St C-113,Indio,CA,92203,USA
The Chubby Pickle,23 Bay Ave,Highlands,NJ,7732,USA
Good Company,1200 W 76th St,Cleveland,OH,44102,USA
Chula Artisan Eatery,47150 Washington St Ste B,La Quinta,CA,92253,USA
Astoria Cafe & Market,5417 Detroit Ave,Cleveland,OH,44102,USA
Orozco's Restaurant,1126 Ashford Ave,San Juan,PR,,USA
Turf Surf and Earth,46 E Main St,Somerville,NJ,8876,USA
Firehole Bar-B-Que Co.,120 Firehole Ave,West Yellowstone,MT,59758,USA
Haldi Chowk,1409 NJ-35 #2012,Middletown Township,NJ,7748,USA
Salao Tapas and Bar,Carr 1 km 30.9,Caguas,PR,,USA
Budare,1552 PR-25,San Juan,PR,,USA
Masons Creamery,4401 Bridge Ave,Cleveland,OH,44113,USA
Kesté Pizza and Vino,66 Gold St,New York,NY,10038,USA
Fat Cats,2061 W 10th St,Cleveland,OH,44113,USA
